"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0035150","GO:0035150","regulation of tube size",151,-0.49852579033285,-1.57703117279988,0.000568972729884288,0.00750370378227947,0.00558273231570007,2540,"tags=29%, list=10%, signal=26%","155/6869/5592/59/150/5029/196740/54795/1956/112/79987/1910/143872/4842/25/2852/3043/148/2131/624/3363/6546/5467/846/490/10800/5997/185/154/4881/1889/1907/553/5023/857/3778/6338/1908/8850/2150/3779/5028/3741/477"
"GO:0000966","GO:0000966","RNA 5'-end processing",38,0.735616555910361,1.79178496155421,0.000583259859912655,0.00765973685502135,0.00569882043735157,3971,"tags=47%, list=15%, signal=40%","10940/8602/10799/87178/96764/6636/6628/27340/79897/6741/10248/6632/6633/6635/3028/10557/10607/353267"
"GO:0016078","GO:0016078","tRNA decay",17,0.845045897806393,1.78522334288754,0.000583259859912655,0.00765973685502135,0.00569882043735157,1982,"tags=47%, list=7%, signal=44%","4234/23404/10940/51010/23016/11340/84186/54888"
"GO:0050921","GO:0050921","positive regulation of chemotaxis",145,-0.498229975382526,-1.58447875085682,0.000591399113569568,0.00775031023203144,0.005766206748625,3382,"tags=33%, list=13%, signal=29%","5795/7074/79647/5919/3965/6352/57118/10563/1236/90550/7060/4916/5594/1436/5156/9750/3071/199/2260/6504/2247/1435/6363/9353/1240/1901/4739/5595/2660/6366/1524/2255/729230/7857/846/80310/3603/1907/64805/2185/5025/1908/2150/1902/6387/5764/2277/3570"
"GO:0051209","GO:0051209","release of sequestered calcium ion into cytosol",126,-0.513362209627133,-1.59565342314599,0.000605460792050288,0.00791795476060734,0.0058909337573645,3001,"tags=35%, list=11%, signal=31%","57338/7220/1236/5334/2811/2247/3270/805/6363/6622/3690/6366/3708/5581/2946/5566/1193/930/5144/623/3954/25/2852/817/6546/27069/844/845/1756/5336/2316/6263/84502/2185/9472/57158/5350/6717/23228/287/477/801/201140/51196"
"GO:1903076","GO:1903076","regulation of protein localization to plasma membrane",116,-0.515661530741524,-1.58486966116751,0.000616266580216058,0.00804240779788236,0.00598352643068179,3513,"tags=31%, list=13%, signal=27%","51225/245812/9482/26119/7430/2042/6769/51548/5525/64114/815/367/382/1956/8673/5621/9495/10490/5581/55022/2852/817/8650/3958/5780/25999/55625/9378/10580/9912/5357/9528/163882/818/493/7957"
"GO:0002366","GO:0002366","leukocyte activation involved in immune response",301,-0.418027356268014,-1.42440444612435,0.000619314189125737,0.00806530670514895,0.00600056314658911,3271,"tags=24%, list=12%, signal=21%","1015/4615/9846/3606/3716/3683/3965/1378/3558/5293/26022/1880/959/55619/401258/1794/8741/54518/6571/57379/8013/3071/51111/387695/6504/8723/5450/6363/8673/117157/202309/3815/5581/1524/3566/5130/695/930/911/4064/4092/3572/25/729230/5294/11126/2294/4063/3958/3662/5105/2205/5336/1776/1113/6844/2185/5734/6338/5663/9452/23228/57126/11280/2150/10875/51043/634/5873/80031/159296/3570"
"GO:0006479","GO:0006479","protein methylation",42,0.726299810380074,1.79866434852887,0.00062458562266319,0.00808333011239207,0.00601397250561696,3729,"tags=40%, list=14%, signal=35%","28989/79918/59335/56950/6628/51504/25940/3276/10919/149281/10419/221143/25895/79091/196483/55471/54496"
"GO:0008213","GO:0008213","protein alkylation",42,0.726299810380074,1.79866434852887,0.00062458562266319,0.00808333011239207,0.00601397250561696,3729,"tags=40%, list=14%, signal=35%","28989/79918/59335/56950/6628/51504/25940/3276/10919/149281/10419/221143/25895/79091/196483/55471/54496"
"GO:0009791","GO:0009791","post-embryonic development",86,-0.557276018608981,-1.62583876578568,0.000622555014708059,0.00808333011239207,0.00601397250561696,2469,"tags=23%, list=9%, signal=21%","6571/4643/578/3708/57282/25/596/7855/80274/2263/4692/4594/10018/34/9215/5663/6414/6335/9314/159296"
